enterprise_id,period,sector,region,ca_segment,n_employes,gt_ca_reel,gt_benefice_reel,gt_tva_active,gt_tva_compliance,gt_tva_due,gt_is_active,gt_is_compliance,gt_is_due,gt_tpu_active,gt_tpu_compliance,gt_irpp_susp_active,obs_ca_declare,obs_tva_declaree,obs_tva_assujetti_declare,obs_is_declare,obs_benefice_declare,obs_retard_paiement_jours,obs_has_compte_bancaire,obs_utilise_facturation_electronique,obs_a_ete_audite,obs_n_employes_declare,obs_ratio_sous_declaration,obs_tva_missing,obs_is_missing,obs_benefice_missing,label_tva_non_conforme,label_is_non_conforme,label_any_non_conforme
ENT_00000,2022_2024,industrie,Kara,rsi,11,36282646,13216636,0,0.7855,0,0,0.7377,0,0,0.4343,0,24589426,0.0,False,0.0,0.0,5,True,False,False,9,0.6777,False,False,False,0,0,0
ENT_00001,2022_2024,restauration,Sokodé,informal,34,14625888,2358777,0,0.4843,0,0,0.7412,0,1,0.2532,0,11868222,0.0,False,0.0,0.0,28,True,True,False,29,0.8115,False,False,False,0,0,1
ENT_00002,2022_2024,restauration,Sokodé,rsi,2,48598592,18095019,0,0.4999,0,0,0.6705,0,0,0.1095,0,37749303,0.0,False,0.0,0.0,1,True,True,False,1,0.7768,False,False,False,0,0,0
ENT_00003,2022_2024,services,Kara,informal,15,10154141,6378647,0,0.9734,0,0,0.808,0,1,0.7423,0,7901649,0.0,False,0.0,0.0,9,False,True,False,8,0.7782,False,False,False,0,0,0
ENT_00004,2022_2024,BTP,Dapaong,rsi,5,57942028,32638421,0,0.812,0,0,0.7607,0,0,0.6939,0,49517264,0.0,False,,,11,True,False,False,5,0.8546,False,True,True,0,0,0
ENT_00005,2022_2024,services,Sokodé,informal,10,4607351,755319,0,0.99,0,0,0.7242,0,1,0.5615,0,3516446,0.0,False,0.0,0.0,11,False,True,False,8,0.7632,False,False,False,0,0,0
ENT_00006,2022_2024,BTP,Atakpamé,rsi,5,30629279,3530616,0,0.4767,0,0,0.8746,0,0,0.8462,0,26300832,,False,,0.0,9,True,True,True,4,0.8587,True,True,False,0,0,0
ENT_00007,2022_2024,services,Sokodé,rsi,17,58527979,18537309,0,0.967,0,0,0.5134,0,0,0.1515,0,45117332,0.0,False,0.0,0.0,6,True,False,False,13,0.7709,False,False,False,0,0,0
ENT_00008,2022_2024,restauration,Atakpamé,informal,57,18306656,5818813,0,0.4824,0,0,0.7431,0,1,0.3059,0,13829490,0.0,False,,0.0,14,False,False,False,48,0.7554,False,True,False,0,0,0
ENT_00009,2022_2024,services,Tsévié,informal,20,22450290,7303951,0,0.9814,0,0,0.795,0,1,0.2435,0,17260320,0.0,False,0.0,,63,False,False,False,20,0.7688,False,False,True,0,0,1
ENT_00010,2022_2024,industrie,Kara,reel,58,254589673,12131582,1,0.7124,45826141,1,0.7726,3518159,0,0.4624,0,154824086,28561855.0,True,1550472.0,5346455.0,0,True,False,True,55,0.6081,False,False,False,0,0,0
ENT_00011,2022_2024,commerce,Sokodé,rsi,2,53499805,30531522,0,0.8004,0,0,0.5484,0,0,0.1514,0,43784250,0.0,False,,,4,False,True,False,1,0.8184,False,True,True,0,0,0
ENT_00012,2022_2024,transport,Tsévié,informal,4,21241423,3126924,0,0.8624,0,0,0.7284,0,1,0.6003,0,15261062,0.0,False,,0.0,5,False,True,False,3,0.7185,False,True,False,0,0,0
ENT_00013,2022_2024,agriculture,Sokodé,informal,2,8056780,3585062,0,0.1437,0,0,0.8677,0,1,0.2838,0,3838019,,False,0.0,0.0,8,True,False,False,2,0.4764,True,False,False,0,0,1
ENT_00014,2022_2024,restauration,Dapaong,informal,4,3341948,858835,0,0.614,0,0,0.579,0,1,0.5309,0,2243043,,False,0.0,0.0,20,False,True,False,3,0.6712,True,False,False,0,0,0
ENT_00015,2022_2024,transport,Atakpamé,informal,2,3628778,1257447,0,0.8989,0,0,0.8917,0,1,0.7668,0,2459980,0.0,False,0.0,0.0,8,True,False,False,1,0.6779,False,False,False,0,0,0
ENT_00016,2022_2024,restauration,Dapaong,informal,20,3073039,988336,0,0.7045,0,0,0.5656,0,1,0.0815,0,2197994,0.0,False,0.0,0.0,29,True,False,False,19,0.7153,False,False,False,0,0,1
ENT_00017,2022_2024,commerce,Lomé,informal,9,15383028,1044303,0,0.7245,0,0,0.9498,0,1,0.1062,0,9169169,0.0,False,0.0,0.0,2,False,False,False,8,0.5961,False,False,False,0,0,1
ENT_00018,2022_2024,transport,Atakpamé,reel,7,211760622,24157126,1,0.9632,38116912,1,0.476,7005567,0,0.7556,0,140916354,24439714.0,True,5864709.0,20223133.0,0,False,False,False,7,0.6655,False,False,False,0,1,1
ENT_00019,2022_2024,BTP,Lomé,informal,13,12187319,6342085,0,0.8003,0,0,0.2729,0,1,0.757,0,10986259,0.0,False,0.0,0.0,3,False,True,False,11,0.9015,False,False,False,0,0,0
ENT_00020,2022_2024,restauration,Kara,informal,91,12694122,867969,0,0.5811,0,0,0.5035,0,1,0.3989,0,9391608,0.0,False,0.0,0.0,2,False,True,False,91,0.7398,False,False,False,0,0,0
ENT_00021,2022_2024,transport,Atakpamé,informal,2,12728054,2901947,0,0.8398,0,0,0.6612,0,1,0.5334,0,7327457,,False,0.0,0.0,2,True,False,False,1,0.5757,True,False,False,0,0,0
