enterprise_id,period,sector,region,ca_segment,n_employes,gt_ca_reel,gt_benefice_reel,gt_tva_active,gt_tva_compliance,gt_is_active,gt_is_compliance,gt_imf_active,gt_imf_compliance,gt_tpu_active,gt_tpu_compliance,obs_ca_declare,obs_tva_declaree,obs_tva_assujetti_declare,obs_is_declare,obs_benefice_declare,obs_tpu_paye,obs_retard_paiement_jours,obs_has_compte_bancaire,obs_utilise_facturation_elec,obs_a_ete_audite,obs_n_employes_declare,obs_ratio_sous_declaration,obs_tva_missing,obs_is_missing,obs_benefice_missing,obs_tpu_missing,label_tva_non_conforme,label_is_non_conforme,label_tpu_non_conforme,label_any_non_conforme
ENT_00000,2022_2024,restauration,Sokodé,informal,4,24822399.368907023,1162787.748252268,0,0.8707436309160399,0,0.6554346123870393,0,0.8549107383230057,1,0.4308138115356184,21139116.27916617,0.0,0,0.0,780362.3145821919,1.0,9,0,0,0,3,0.8516145423735868,0,0,0,0,0,0,0,0
ENT_00001,2022_2024,agriculture,Lomé,rsi,38,83553464.02008975,7763622.629614467,1,0.741516126984782,0,0.5068098693744821,0,0.6556279635733864,0,0.044376927679208,65186458.697098576,11187584.743915558,1,0.0,5928496.165048344,,8,1,1,1,32,0.7801766145976309,0,0,0,1,0,0,0,0
ENT_00002,2022_2024,restauration,Kara,informal,1,13961958.534234244,1275768.9861272168,0,0.6509299379215643,0,0.7294564753308245,0,0.937640997427457,1,0.3079609416160218,8581250.448789177,0.0,0,0.0,771701.8090137449,0.0,23,0,0,0,0,0.6146165258798216,0,0,0,0,0,0,0,0
ENT_00003,2022_2024,BTP,Tsévié,rsi,28,91606550.34845586,11653285.177097598,1,0.9513421207865592,0,0.6577175380422233,0,0.8094259332818765,0,0.3433063915534931,71053235.46796322,14283748.968221746,1,0.0,6578801.668861229,,0,1,0,0,23,0.7756348776117942,0,0,0,1,0,0,0,0
ENT_00004,2022_2024,restauration,Aného,rsi,12,71790672.63573928,3705981.433475509,1,0.9412434939266155,0,0.4702454199835811,0,0.5341351608243605,0,0.3722075163929567,50090451.30828171,,1,0.0,2643134.944073861,,1,1,1,0,10,0.697729237925337,1,0,0,1,0,0,0,0
ENT_00005,2022_2024,BTP,Dapaong,rsi,7,52914662.69991303,3972785.732881359,0,0.6105026154919507,0,0.4833357430548508,0,0.8499928193376236,0,0.4422790715706124,52563046.98945848,0.0,0,0.0,,,28,1,0,0,5,0.9933550420145618,0,0,1,1,0,0,0,0
ENT_00006,2022_2024,restauration,Dapaong,informal,3,25628780.663452,2360905.612266514,0,0.9279554371837508,0,0.5913240460454913,0,0.9900814678879124,1,0.0995963307803298,21023090.841283657,0.0,0,0.0,1343345.442639846,,18,1,0,0,2,0.8202922767708455,0,0,0,1,0,0,1,1
ENT_00007,2022_2024,BTP,Tsévié,informal,1,16536470.756054826,701343.6111140656,0,0.4987114128602953,0,0.4188941978483964,0,0.8483633848857667,1,0.4405495545449445,9246018.006890878,0.0,0,,503887.9144356604,1.0,39,1,0,1,0,0.5591288578613699,0,1,0,0,0,0,0,0
ENT_00008,2022_2024,agriculture,Aného,informal,2,7186458.561384634,681171.9745560306,0,0.7961821395865804,0,0.2699191338286751,0,0.9149088654959668,1,0.1564380992982618,6447002.29258146,0.0,0,0.0,510676.0534850632,0.0,36,0,1,0,1,0.8971042186513768,0,0,0,0,0,0,1,1
ENT_00009,2022_2024,transport,Aného,informal,3,17240783.187403116,641287.3974518438,0,0.9144228734716748,0,0.7754278926679753,0,0.5049188102016346,1,0.4461952407566196,13302958.157486668,0.0,0,0.0,523042.40418861,0.0,48,0,0,0,2,0.7715982512445491,0,0,0,0,0,0,0,0
